# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
WriteAction.executionsCount,1773245509914000000,1773245570114000000,11
AWTEventQueue.dispatchTimeTotalNS,1773245509914000000,1773245570114000000,51427215059
NonBlockingReadAction.finalizedExecutionTimeUs,1773245509914000000,1773245570114000000,3612303
AWTEventQueue.dispatchTimeMaxNs,1773245509914000000,1773245570114000000,18350079
FlushQueue.executionTime90PNs,1773245509914000000,1773245570114000000,0
AWTEventQueue.dispatchTimeAvgNs,1773245509914000000,1773245570114000000,9213696.0
FlushQueue.tasksExecuted,1773245509914000000,1773245570114000000,0
NonBlockingReadAction.failedExecutionTimeUs,1773245509914000000,1773245570114000000,4024
FlushQueue.waitingTimeMaxNs,1773245509914000000,1773245570114000000,0
FlushQueue.queueSizeAvg,1773245509914000000,1773245570114000000,0.0
NonBlockingReadAction.failedExecutionsCount,1773245509914000000,1773245570114000000,1
FlushQueue.queueSize90P,1773245509914000000,1773245570114000000,0
FlushQueue.waitingTime90PNs,1773245509914000000,1773245570114000000,0
FlushQueue.queueSizeMax,1773245509914000000,1773245570114000000,0
NonBlockingReadAction.finalizedExecutionsCount,1773245509914000000,1773245570114000000,45
ReadAction.executionsCount,1773245509914000000,1773245570114000000,67348
FlushQueue.waitingTimeAvgNs,1773245509914000000,1773245570114000000,0.0
FlushQueue.executionTimeAvgNs,1773245509914000000,1773245570114000000,0.0
AWTEventQueue.dispatchTime90PNs,1773245509914000000,1773245570114000000,18350079
FlushQueue.executionTimeMaxNs,1773245509914000000,1773245570114000000,0
AWTEventQueue.eventsDispatched,1773245509914000000,1773245570114000000,2
DirectByteBufferAllocator.hits,1773245509914000000,1773245570114000000,3
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1773245509914000000,1773245570114000000,2314140
FilePageCacheLockFree.totalPagesReclaimed,1773245509914000000,1773245570114000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1773245509914000000,1773245570114000000,0
FilePageCacheLockFree.totalPagesReadMs,1773245509914000000,1773245570114000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1773245509914000000,1773245570114000000,0
